shopping_mall_id,shopping_mall
2540,"fifth avenue"
2541,"pavilion kuala lumpur"
2542,"kuala lumpur city centre (klcc)"
2543,"mall of america"
2544,"istanbul cevahir avm"
2545,"south coast plaza"
2546,"beverly center"
2547,"galeries lafayette"
2548,"westfield parramatta"
2549,"the outlets at orange"
2550,"faisalabad mall"
2551,"centro santa fe"
2552,"sm mall of asia"
2553,"south coast plaza"
2554,"plaza satÃƒÂ©lite"
2555,"south coast plaza"
2556,"la rinascente"
2557,"king abdulaziz center"
2558,"istanbul cevahir avm"
2559,"the shops at columbus circle"
2560,"marina bay sands shopping mall"
2561,"dubai mall"
2562,"westfield world trade center"
2563,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
2564,"the outlets at orange"
2565,"robinsons place manila"
2566,"mall of america"
2567,"oasis mall"
2568,"istanbul cevahir avm"
2569,"forum istanbul"
2570,vivocity
2571,"siam paragon"
2572,"moscow mall"
2573,"kuala lumpur city centre (klcc)"
2574,"pavilion kuala lumpur"
2575,"galeries lafayette"
2576,"oasis mall"
2577,"la rinascente"
2578,"robinsons galleria"
2579,"mall of america"
2580,"lujiazui shopping mall"
2581,vivocity
2582,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
2583,"lujiazui shopping mall"
2584,"the mall at millenia"
2585,"lotte world mall"
2586,"robinsons place manila"
2587,"central world"
2588,"zorlu center"
2589,"moscow mall"
2590,"the grove"
2591,takashimaya
2592,"pavilion kuala lumpur"
2593,"chadstone shopping centre"
2594,"the dubai mall"
2595,"prada store tokyo"
2596,vivocity
2597,"mall of the emirates"
2598,kanyon
2599,"the dubai mall"
2600,"beverly center"
2601,"korsh mall"
2602,"the mall at millenia"
2603,"istanbul cevahir avm"
2604,"istanbul cevahir avm"
2605,"westfield world trade center"
2606,"pavilion kuala lumpur"
2607,"king abdulaziz center"
2608,"istanbul cevahir avm"
2609,"the outlets at orange"
2610,"westfield world trade center"
2611,"korsh mall"
2612,"westfield parramatta"
2613,kanyon
2614,"mall of america"
2615,"istanbul cevahir avm"
2616,"the shops at columbus circle"
2617,"westfield london"
2618,"the dubai mall"
2619,takashimaya
2620,"the outlets at orange"
2621,"galeries lafayette"
2622,"king abdulaziz center"
2623,"mall of the emirates"
2624,"king abdulaziz center"
2625,"south coast plaza"
2626,"sm seaside city cebu"
2627,"korsh mall"
2628,"zorlu center"
2629,"robinsons galleria"
2630,"korsh mall"
2631,"dubai mall"
2632,"galleria mall"
2633,"beverly center"
2634,"marina bay sands shopping mall"
2635,"beverly center"
2636,"istanbul cevahir avm"
2637,vivocity
2638,"central embassy"
2639,"prada store tokyo"
2640,"beverly center"
2641,"la rinascente"
2642,"pavilion kuala lumpur"
2643,"the dubai mall"
2644,"mitsui outlet park"
2645,"centro coyoacÃƒÂ¡n"
2646,"forum istanbul"
2647,"sm mall of asia"
2648,"central world"
2649,"korsh mall"
2650,"korsh mall"
2651,"lujiazui shopping mall"
2652,"chadstone shopping centre"
2653,"mitsui outlet park"
2654,"lujiazui shopping mall"
2655,"istanbul cevahir avm"
2656,"lotte world mall"
2657,"king of prussia mall"
2658,"istanbul cevahir avm"
2659,"istanbul cevahir avm"
2660,"kuala lumpur city centre (klcc)"
2661,"the mall at millenia"
2662,"dubai mall"
2663,"lotte world mall"
2664,"korsh mall"
2665,"chadstone shopping centre"
2666,"the mall at millenia"
2667,"sm mall of asia"
2668,"pavilion kuala lumpur"
2669,"dubai mall"
2670,"king of prussia mall"
2671,"siam paragon"
2672,"lotte world mall"
2673,"the mall at millenia"
2674,"robinsons place manila"
2675,"robinsons galleria"
2676,"nanjing deji plaza"
2677,"dubai mall"
2678,"kuala lumpur city centre (klcc)"
2679,"lotte world mall"
2680,"fifth avenue"
2681,vivocity
2682,"galleria mall"
2683,"galleria vittorio emanuele ii"
2684,vivocity
2685,"pavilion kuala lumpur"
2686,"westfield parramatta"
2687,"istanbul cevahir avm"
2688,"mall of the emirates"
2689,"centro coyoacÃƒÂ¡n"
2690,"zorlu center"
2691,"the outlets at orange"
2692,"westfield world trade center"
2693,"prada store tokyo"
2694,"centro santa fe"
2695,"forum istanbul"
2696,"king of prussia mall"
2697,"galeries lafayette"
2698,"lotte world mall"
2699,kanyon
2700,"pavilion kuala lumpur"
2701,vivocity
2702,takashimaya
2703,"pavilion kuala lumpur"
2704,"centro coyoacÃƒÂ¡n"
2705,"pavilion kuala lumpur"
2706,"dubai mall"
2707,"marina bay sands shopping mall"
2708,"fifth avenue"
2709,"robinsons galleria"
2710,"lujiazui shopping mall"
2711,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
2712,"sm mall of asia"
2713,"forum istanbul"
2714,"beverly center"
2715,takashimaya
2716,"zorlu center"
2717,"south coast plaza"
2718,"sm mall of asia"
2719,vivocity
2720,"marina bay sands shopping mall"
2721,"sm mall of asia"
2722,"forum istanbul"
2723,"sm seaside city cebu"
2724,"westfield london"
2725,"dubai mall"
2726,takashimaya
2727,"westfield london"
2728,"south coast plaza"
2729,"king of prussia mall"
2730,"zorlu center"
2731,"robinsons galleria"
2732,"dubai mall"
2733,"beverly center"
2734,"westfield london"
2735,"westfield parramatta"
2736,"faisalabad mall"
2737,"lotte world mall"
2738,"the shops at columbus circle"
2739,"mall of america"
2740,"aventura mall"
2741,"the shops at columbus circle"
2742,"kuala lumpur city centre (klcc)"
2743,"the grove"
2744,"mall of america"
2745,"king of prussia mall"
2746,"sm seaside city cebu"
2747,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
2748,"dubai mall"
2749,"tokyo midtown"
2750,"robinsons place manila"
2751,"centro santa fe"
2752,kanyon
2753,"central world"
2754,"lujiazui shopping mall"
2755,"aventura mall"
2756,"beverly center"
2757,"oasis mall"
2758,"central embassy"
2759,"mall of america"
2760,"dubai mall"
2761,kanyon
2762,"westfield world trade center"
2763,"king abdulaziz center"
2764,takashimaya
2765,"centro santa fe"
2766,"marina bay sands shopping mall"
2767,"the grove"
2768,kanyon
2769,"moscow mall"
2770,vivocity
2771,"prada store tokyo"
2772,"lujiazui shopping mall"
2773,"oasis mall"
2774,"south coast plaza"
2775,"the grove"
2776,"nanjing deji plaza"
2777,"king abdulaziz center"
2778,"king abdulaziz center"
2779,"the dubai mall"
2780,"oasis mall"
2781,"the grove"
2782,"prada store tokyo"
2783,"faisalabad mall"
2784,"aventura mall"
2785,"aventura mall"
2786,"pavilion kuala lumpur"
2787,"zorlu center"
2788,"galeries lafayette"
2789,"chadstone shopping centre"
2790,"the grove"
2791,"the grove"
2792,"king abdulaziz center"
2793,"the grove"
2794,"tokyo midtown"
2795,"faisalabad mall"
2796,"forum istanbul"
2797,"sm mall of asia"
2798,"forum istanbul"
2799,"lotte world mall"
2800,"central embassy"
2801,"mall of the emirates"
2802,"central world"
2803,"fifth avenue"
2804,takashimaya
2805,"king abdulaziz center"
2806,vivocity
2807,"beverly center"
2808,"westfield london"
2809,"galleria vittorio emanuele ii"
2810,"centro coyoacÃƒÂ¡n"
2811,"beverly center"
2812,"the outlets at orange"
2813,"beverly center"
2814,"the shops at columbus circle"
2815,"robinsons place manila"
2816,"istanbul cevahir avm"
2817,"robinsons place manila"
2818,"dubai mall"
2819,"chadstone shopping centre"
2820,"south coast plaza"
2821,"westfield world trade center"
2822,"sm mall of asia"
2823,"the grove"
2824,kanyon
2825,"central embassy"
2826,"sm seaside city cebu"
2827,"sm seaside city cebu"
2828,"forum istanbul"
2829,"central world"
2830,"plaza satÃƒÂ©lite"
2831,"zorlu center"
2832,"chadstone shopping centre"
2833,"the shops at columbus circle"
2834,"king of prussia mall"
2835,"zorlu center"
2836,"robinsons place manila"
2837,takashimaya
2838,"beverly center"
2839,"galeries lafayette"
2840,"dubai mall"
2841,"prada store tokyo"
2842,"fifth avenue"
2843,kanyon
2844,"tokyo midtown"
2845,"oasis mall"
2846,"zorlu center"
2847,"sm seaside city cebu"
2848,"robinsons galleria"
2849,"central embassy"
2850,"westfield parramatta"
2851,"chadstone shopping centre"
2852,"chadstone shopping centre"
2853,"mall of america"
2854,"sm seaside city cebu"
2855,kanyon
2856,"plaza satÃƒÂ©lite"
2857,"tokyo midtown"
2858,"faisalabad mall"
2859,kanyon
2860,"mall of the emirates"
2861,"moscow mall"
2862,takashimaya
2863,takashimaya
2864,"oasis mall"
2865,"the shops at columbus circle"
2866,"south coast plaza"
2867,"lujiazui shopping mall"
2868,"the dubai mall"
2869,"dubai mall"
2870,"nanjing deji plaza"
2871,"galleria vittorio emanuele ii"
2872,"marina bay sands shopping mall"
2873,"galeries lafayette"
2874,"sm seaside city cebu"
2875,"king of prussia mall"
2876,"oasis mall"
2877,"marina bay sands shopping mall"
2878,"marina bay sands shopping mall"
2879,"la rinascente"
2880,"la rinascente"
2881,"centro coyoacÃƒÂ¡n"
2882,"pavilion kuala lumpur"
2883,"central world"
2884,"faisalabad mall"
2885,"the outlets at orange"
2886,"nanjing deji plaza"
2887,"tokyo midtown"
2888,vivocity
2889,"king of prussia mall"
2890,"forum istanbul"
2891,"zorlu center"
2892,"aventura mall"
2893,"centro coyoacÃƒÂ¡n"
2894,"robinsons place manila"
2895,"south coast plaza"
2896,"galleria mall"
2897,"westfield world trade center"
2898,"king of prussia mall"
2899,"westfield parramatta"
2900,"westfield parramatta"
2901,"westfield london"
2902,vivocity
2903,"the grove"
2904,"pavilion kuala lumpur"
2905,"king abdulaziz center"
2906,"zorlu center"
2907,"lotte world mall"
2908,"galleria mall"
2909,"zorlu center"
2910,"dubai mall"
2911,"westfield london"
2912,"lujiazui shopping mall"
2913,"sm mall of asia"
2914,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
2915,"plaza satÃƒÂ©lite"
2916,"mitsui outlet park"
2917,"tokyo midtown"
2918,"pavilion kuala lumpur"
2919,"faisalabad mall"
2920,"westfield world trade center"
2921,"centro coyoacÃƒÂ¡n"
2922,"kuala lumpur city centre (klcc)"
2923,"galleria mall"
2924,"central world"
2925,"chadstone shopping centre"
2926,"la rinascente"
2927,"centro coyoacÃƒÂ¡n"
2928,"pavilion kuala lumpur"
2929,"marina bay sands shopping mall"
2930,"sm mall of asia"
2931,"nanjing deji plaza"
2932,"the dubai mall"
2933,"oasis mall"
2934,"centro santa fe"
2935,vivocity
2936,"south coast plaza"
2937,"robinsons place manila"
2938,"westfield london"
2939,"dubai mall"
2940,"galleria vittorio emanuele ii"
2941,"mall of america"
2942,"the mall at millenia"
2943,"mitsui outlet park"
2944,"mitsui outlet park"
2945,"sm mall of asia"
2946,"la rinascente"
2947,"westfield london"
2948,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
2949,"lujiazui shopping mall"
2950,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
2951,"robinsons place manila"
2952,"aventura mall"
2953,"galleria vittorio emanuele ii"
2954,"prada store tokyo"
2955,"mall of the emirates"
2956,"mall of the emirates"
2957,"robinsons galleria"
2958,"istanbul cevahir avm"
2959,vivocity
2960,"the mall at millenia"
2961,"beverly center"
2962,"centro coyoacÃƒÂ¡n"
2963,"chadstone shopping centre"
2964,"central world"
2965,"oasis mall"
2966,"forum istanbul"
2967,"the mall at millenia"
2968,"dubai mall"
2969,"galeries lafayette"
2970,"sm seaside city cebu"
2971,"westfield world trade center"
2972,"robinsons place manila"
2973,"galeries lafayette"
2974,"centro santa fe"
2975,"sm mall of asia"
2976,"forum istanbul"
2977,"moscow mall"
2978,"the grove"
2979,takashimaya
2980,takashimaya
2981,"oasis mall"
2982,"the grove"
2983,"chadstone shopping centre"
2984,"tokyo midtown"
2985,"westfield london"
2986,"lotte world mall"
2987,"faisalabad mall"
2988,"oasis mall"
2989,"the shops at columbus circle"
2990,"lujiazui shopping mall"
2991,"mall of america"
2992,"chadstone shopping centre"
2993,"the grove"
2994,"siam paragon"
2995,vivocity
2996,"westfield parramatta"
2997,kanyon
2998,"mall of the emirates"
2999,"robinsons galleria"
3000,"westfield world trade center"
3001,"westfield london"
3002,"forum istanbul"
3003,"korsh mall"
3004,"westfield london"
3005,"faisalabad mall"
3006,"galleria mall"
3007,"chadstone shopping centre"
3008,"istanbul cevahir avm"
3009,"sm seaside city cebu"
3010,"beverly center"
3011,takashimaya
3012,"korsh mall"
3013,"korsh mall"
3014,"robinsons galleria"
3015,"faisalabad mall"
3016,"robinsons place manila"
3017,"robinsons galleria"
3018,"robinsons galleria"
3019,"the grove"
3020,vivocity
3021,"westfield parramatta"
3022,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3023,"nanjing deji plaza"
3024,"central world"
3025,"forum istanbul"
3026,"plaza satÃƒÂ©lite"
3027,"westfield london"
3028,"beverly center"
3029,"prada store tokyo"
3030,"the mall at millenia"
3031,"lujiazui shopping mall"
3032,"king abdulaziz center"
3033,"oasis mall"
3034,"prada store tokyo"
3035,"zorlu center"
3036,"dubai mall"
3037,takashimaya
3038,"robinsons place manila"
3039,"aventura mall"
3040,"central world"
3041,"faisalabad mall"
3042,"westfield parramatta"
3043,"robinsons place manila"
3044,"king abdulaziz center"
3045,"tokyo midtown"
3046,"dubai mall"
3047,"korsh mall"
3048,"robinsons galleria"
3049,"prada store tokyo"
3050,"robinsons place manila"
3051,"lujiazui shopping mall"
3052,"galleria mall"
3053,"the outlets at orange"
3054,"mitsui outlet park"
3055,"the mall at millenia"
3056,"the outlets at orange"
3057,"westfield parramatta"
3058,"beverly center"
3059,"forum istanbul"
3060,"sm mall of asia"
3061,"moscow mall"
3062,"la rinascente"
3063,"oasis mall"
3064,"sm mall of asia"
3065,"faisalabad mall"
3066,"sm mall of asia"
3067,"central world"
3068,"king abdulaziz center"
3069,"westfield parramatta"
3070,"the mall at millenia"
3071,"the mall at millenia"
3072,"zorlu center"
3073,"forum istanbul"
3074,"the shops at columbus circle"
3075,"oasis mall"
3076,"robinsons place manila"
3077,"lotte world mall"
3078,"siam paragon"
3079,"aventura mall"
3080,"king of prussia mall"
3081,"la rinascente"
3082,"central world"
3083,"oasis mall"
3084,"mitsui outlet park"
3085,"westfield parramatta"
3086,takashimaya
3087,"south coast plaza"
3088,"plaza satÃƒÂ©lite"
3089,"faisalabad mall"
3090,"istanbul cevahir avm"
3091,"mall of america"
3092,"the dubai mall"
3093,"siam paragon"
3094,"king abdulaziz center"
3095,"galleria mall"
3096,"centro coyoacÃƒÂ¡n"
3097,"galleria mall"
3098,"westfield london"
3099,"marina bay sands shopping mall"
3100,takashimaya
3101,"dubai mall"
3102,"moscow mall"
3103,"siam paragon"
3104,"nanjing deji plaza"
3105,"dubai mall"
3106,"zorlu center"
3107,"pavilion kuala lumpur"
3108,"galeries lafayette"
3109,"korsh mall"
3110,"nanjing deji plaza"
3111,"the dubai mall"
3112,"prada store tokyo"
3113,vivocity
3114,"sm mall of asia"
3115,"pavilion kuala lumpur"
3116,"sm seaside city cebu"
3117,"sm seaside city cebu"
3118,"king of prussia mall"
3119,"siam paragon"
3120,"tokyo midtown"
3121,"the dubai mall"
3122,"westfield parramatta"
3123,"the mall at millenia"
3124,"the grove"
3125,"korsh mall"
3126,"robinsons place manila"
3127,"the dubai mall"
3128,"westfield london"
3129,"westfield london"
3130,"the mall at millenia"
3131,"prada store tokyo"
3132,"centro santa fe"
3133,"westfield world trade center"
3134,"robinsons galleria"
3135,"zorlu center"
3136,"robinsons galleria"
3137,"kuala lumpur city centre (klcc)"
3138,"moscow mall"
3139,"prada store tokyo"
3140,"siam paragon"
3141,"mitsui outlet park"
3142,"galleria mall"
3143,"korsh mall"
3144,"the outlets at orange"
3145,"mitsui outlet park"
3146,"pavilion kuala lumpur"
3147,"the dubai mall"
3148,"zorlu center"
3149,"la rinascente"
3150,"la rinascente"
3151,"mall of the emirates"
3152,"siam paragon"
3153,"aventura mall"
3154,"the dubai mall"
3155,"nanjing deji plaza"
3156,"galleria mall"
3157,"the outlets at orange"
3158,"central embassy"
3159,"istanbul cevahir avm"
3160,"beverly center"
3161,"moscow mall"
3162,"moscow mall"
3163,"dubai mall"
3164,"centro coyoacÃƒÂ¡n"
3165,"moscow mall"
3166,"fifth avenue"
3167,"aventura mall"
3168,"istanbul cevahir avm"
3169,"lotte world mall"
3170,"sm seaside city cebu"
3171,"centro coyoacÃƒÂ¡n"
3172,"westfield london"
3173,"chadstone shopping centre"
3174,vivocity
3175,"dubai mall"
3176,"galeries lafayette"
3177,"sm seaside city cebu"
3178,"pavilion kuala lumpur"
3179,"south coast plaza"
3180,"kuala lumpur city centre (klcc)"
3181,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3182,"faisalabad mall"
3183,"the shops at columbus circle"
3184,"galleria mall"
3185,"chadstone shopping centre"
3186,"galleria mall"
3187,"the shops at columbus circle"
3188,"south coast plaza"
3189,"nanjing deji plaza"
3190,"mall of the emirates"
3191,"zorlu center"
3192,"westfield parramatta"
3193,"galleria mall"
3194,"galeries lafayette"
3195,"robinsons place manila"
3196,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3197,"king of prussia mall"
3198,"robinsons galleria"
3199,"pavilion kuala lumpur"
3200,"aventura mall"
3201,"galeries lafayette"
3202,"marina bay sands shopping mall"
3203,"robinsons place manila"
3204,"plaza satÃƒÂ©lite"
3205,"the shops at columbus circle"
3206,"korsh mall"
3207,"lotte world mall"
3208,"marina bay sands shopping mall"
3209,"dubai mall"
3210,"forum istanbul"
3211,kanyon
3212,"the shops at columbus circle"
3213,"fifth avenue"
3214,"zorlu center"
3215,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3216,"south coast plaza"
3217,"nanjing deji plaza"
3218,takashimaya
3219,"the mall at millenia"
3220,"the mall at millenia"
3221,"lujiazui shopping mall"
3222,"marina bay sands shopping mall"
3223,"westfield world trade center"
3224,"sm seaside city cebu"
3225,"westfield world trade center"
3226,"tokyo midtown"
3227,"la rinascente"
3228,"mitsui outlet park"
3229,"nanjing deji plaza"
3230,"westfield world trade center"
3231,"the mall at millenia"
3232,"istanbul cevahir avm"
3233,"the grove"
3234,"korsh mall"
3235,"chadstone shopping centre"
3236,"moscow mall"
3237,"the grove"
3238,"lotte world mall"
3239,"westfield parramatta"
3240,"mall of america"
3241,"plaza satÃƒÂ©lite"
3242,"zorlu center"
3243,"forum istanbul"
3244,"la rinascente"
3245,"plaza satÃƒÂ©lite"
3246,"robinsons place manila"
3247,"lujiazui shopping mall"
3248,"robinsons place manila"
3249,"chadstone shopping centre"
3250,vivocity
3251,kanyon
3252,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3253,"prada store tokyo"
3254,"king abdulaziz center"
3255,"central world"
3256,"la rinascente"
3257,"westfield london"
3258,"galeries lafayette"
3259,"lujiazui shopping mall"
3260,"oasis mall"
3261,"chadstone shopping centre"
3262,"the outlets at orange"
3263,"westfield world trade center"
3264,"mall of the emirates"
3265,"dubai mall"
3266,"the mall at millenia"
3267,"mall of the emirates"
3268,"faisalabad mall"
3269,"la rinascente"
3270,"lotte world mall"
3271,"robinsons place manila"
3272,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3273,"fifth avenue"
3274,"korsh mall"
3275,"korsh mall"
3276,"nanjing deji plaza"
3277,"centro coyoacÃƒÂ¡n"
3278,"central world"
3279,"prada store tokyo"
3280,"aventura mall"
3281,"korsh mall"
3282,"centro coyoacÃƒÂ¡n"
3283,"central world"
3284,"kuala lumpur city centre (klcc)"
3285,"galleria vittorio emanuele ii"
3286,"the shops at columbus circle"
3287,"galleria mall"
3288,"aventura mall"
3289,"lujiazui shopping mall"
3290,"istanbul cevahir avm"
3291,"beverly center"
3292,"plaza satÃƒÂ©lite"
3293,"centro santa fe"
3294,"the grove"
3295,"dubai mall"
3296,"galleria mall"
3297,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3298,"mall of the emirates"
3299,"the grove"
3300,"korsh mall"
3301,"mall of america"
3302,"the outlets at orange"
3303,"mitsui outlet park"
3304,vivocity
3305,"dubai mall"
3306,"chadstone shopping centre"
3307,"galeries lafayette"
3308,"westfield world trade center"
3309,"the outlets at orange"
3310,"beverly center"
3311,"westfield world trade center"
3312,"the outlets at orange"
3313,"mall of america"
3314,"aventura mall"
3315,"istanbul cevahir avm"
3316,"chadstone shopping centre"
3317,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3318,"centro santa fe"
3319,"prada store tokyo"
3320,"prada store tokyo"
3321,"faisalabad mall"
3322,"kuala lumpur city centre (klcc)"
3323,"lujiazui shopping mall"
3324,"lotte world mall"
3325,"robinsons place manila"
3326,"sm mall of asia"
3327,"the outlets at orange"
3328,"la rinascente"
3329,"faisalabad mall"
3330,"lujiazui shopping mall"
3331,"the grove"
3332,"centro santa fe"
3333,"central world"
3334,"westfield parramatta"
3335,"prada store tokyo"
3336,"lujiazui shopping mall"
3337,"the shops at columbus circle"
3338,"central world"
3339,"the shops at columbus circle"
3340,"zorlu center"
3341,vivocity
3342,"korsh mall"
3343,"chadstone shopping centre"
3344,"beverly center"
3345,"plaza satÃƒÂ©lite"
3346,"robinsons galleria"
3347,"mitsui outlet park"
3348,"king of prussia mall"
3349,"the grove"
3350,"robinsons galleria"
3351,"tokyo midtown"
3352,"istanbul cevahir avm"
3353,vivocity
3354,"chadstone shopping centre"
3355,"westfield london"
3356,vivocity
3357,"moscow mall"
3358,"chadstone shopping centre"
3359,"westfield parramatta"
3360,"la rinascente"
3361,"westfield parramatta"
3362,"oasis mall"
3363,"prada store tokyo"
3364,"prada store tokyo"
3365,"plaza satÃƒÂ©lite"
3366,"central embassy"
3367,"dubai mall"
3368,"la rinascente"
3369,"chadstone shopping centre"
3370,"dubai mall"
3371,kanyon
3372,"moscow mall"
3373,"mitsui outlet park"
3374,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3375,"pavilion kuala lumpur"
3376,"dubai mall"
3377,"faisalabad mall"
3378,"pavilion kuala lumpur"
3379,"faisalabad mall"
3380,"plaza satÃƒÂ©lite"
3381,"forum istanbul"
3382,"mitsui outlet park"
3383,"dubai mall"
3384,"aventura mall"
3385,"king of prussia mall"
3386,"robinsons place manila"
3387,"lujiazui shopping mall"
3388,"moscow mall"
3389,"prada store tokyo"
3390,"the mall at millenia"
3391,"king abdulaziz center"
3392,"dubai mall"
3393,"aventura mall"
3394,"robinsons galleria"
3395,"forum istanbul"
3396,"zorlu center"
3397,"la rinascente"
3398,"lujiazui shopping mall"
3399,"kuala lumpur city centre (klcc)"
3400,"robinsons galleria"
3401,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3402,"zorlu center"
3403,"mall of america"
3404,"galleria vittorio emanuele ii"
3405,"fifth avenue"
3406,"dubai mall"
3407,"aventura mall"
3408,"the grove"
3409,"the shops at columbus circle"
3410,"king abdulaziz center"
3411,"king of prussia mall"
3412,vivocity
3413,"tokyo midtown"
3414,"robinsons place manila"
3415,"kuala lumpur city centre (klcc)"
3416,kanyon
3417,"lujiazui shopping mall"
3418,"lujiazui shopping mall"
3419,"centro santa fe"
3420,"king abdulaziz center"
3421,"king of prussia mall"
3422,"westfield parramatta"
3423,"forum istanbul"
3424,"istanbul cevahir avm"
3425,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3426,"mall of the emirates"
3427,"galleria mall"
3428,"la rinascente"
3429,"the mall at millenia"
3430,"lujiazui shopping mall"
3431,"dubai mall"
3432,"plaza satÃƒÂ©lite"
3433,"oasis mall"
3434,"plaza satÃƒÂ©lite"
3435,"moscow mall"
3436,"sm mall of asia"
3437,"mitsui outlet park"
3438,"la rinascente"
3439,"prada store tokyo"
3440,"lujiazui shopping mall"
3441,"pavilion kuala lumpur"
3442,"forum istanbul"
3443,"king abdulaziz center"
3444,"pavilion kuala lumpur"
3445,"sm seaside city cebu"
3446,kanyon
3447,"beverly center"
3448,"galleria vittorio emanuele ii"
3449,"zorlu center"
3450,"the shops at columbus circle"
3451,"the grove"
3452,"oasis mall"
3453,takashimaya
3454,"the mall at millenia"
3455,"centro coyoacÃƒÂ¡n"
3456,"westfield world trade center"
3457,"king of prussia mall"
3458,"mall of the emirates"
3459,"sm seaside city cebu"
3460,"istanbul cevahir avm"
3461,"siam paragon"
3462,"king of prussia mall"
3463,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3464,"tokyo midtown"
3465,"pavilion kuala lumpur"
3466,"tokyo midtown"
3467,"centro coyoacÃƒÂ¡n"
3468,"lujiazui shopping mall"
3469,"kuala lumpur city centre (klcc)"
3470,"king of prussia mall"
3471,"south coast plaza"
3472,"marina bay sands shopping mall"
3473,kanyon
3474,"beverly center"
3475,"plaza satÃƒÂ©lite"
3476,"central world"
3477,"moscow mall"
3478,"nanjing deji plaza"
3479,"mall of the emirates"
3480,"galeries lafayette"
3481,takashimaya
3482,"plaza satÃƒÂ©lite"
3483,"fifth avenue"
3484,"lujiazui shopping mall"
3485,"westfield london"
3486,"robinsons galleria"
3487,"central world"
3488,"fifth avenue"
3489,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3490,"korsh mall"
3491,"galleria vittorio emanuele ii"
3492,"mall of america"
3493,"la rinascente"
3494,"central world"
3495,takashimaya
3496,"korsh mall"
3497,"dubai mall"
3498,"the dubai mall"
3499,"marina bay sands shopping mall"
3500,"central world"
3501,vivocity
3502,"fifth avenue"
3503,"prada store tokyo"
3504,"prada store tokyo"
3505,"sm seaside city cebu"
3506,"westfield parramatta"
3507,"sm seaside city cebu"
3508,"plaza satÃƒÂ©lite"
3509,"la rinascente"
3510,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3511,vivocity
3512,"king of prussia mall"
3513,"lujiazui shopping mall"
3514,kanyon
3515,"plaza satÃƒÂ©lite"
3516,takashimaya
3517,"the dubai mall"
3518,"faisalabad mall"
3519,"the grove"
3520,"lotte world mall"
3521,"the shops at columbus circle"
3522,"zorlu center"
3523,takashimaya
3524,takashimaya
3525,"south coast plaza"
3526,"moscow mall"
3527,"zorlu center"
3528,"zorlu center"
3529,"central embassy"
3530,"king of prussia mall"
3531,"fifth avenue"
3532,"istanbul cevahir avm"
3533,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
3534,"robinsons place manila"
3535,"king abdulaziz center"
3536,"marina bay sands shopping mall"
3537,"istanbul cevahir avm"
3538,"the dubai mall"
3539,"galleria vittorio emanuele ii"
3540,"mall of the emirates"
3541,"moscow mall"
3542,"beverly center"
3543,"centro coyoacÃƒÂ¡n"
3544,"king abdulaziz center"
3545,"centro coyoacÃƒÂ¡n"
3546,"galeries lafayette"
3547,"pavilion kuala lumpur"
3548,"westfield parramatta"
3549,"tokyo midtown"
3550,"the shops at columbus circle"
3551,kanyon
3552,"galleria vittorio emanuele ii"
3553,kanyon
3554,"mall of america"
3555,"dubai mall"
3556,"lujiazui shopping mall"
3557,"zorlu center"
3558,"kuala lumpur city centre (klcc)"
3559,"the mall at millenia"
3560,"central embassy"
3561,"mitsui outlet park"
3562,"tokyo midtown"
3563,"galleria mall"
3564,"the grove"
3565,"forum istanbul"
3566,"faisalabad mall"
3567,kanyon
3568,"centro coyoacÃƒÂ¡n"
3569,"centro coyoacÃƒÂ¡n"
3570,"galleria mall"
3571,"galleria vittorio emanuele ii"
3572,"central world"
3573,"chadstone shopping centre"
3574,"plaza satÃƒÂ©lite"
3575,"king abdulaziz center"
3576,"beverly center"
3577,"marina bay sands shopping mall"
3578,"westfield london"
3579,"robinsons place manila"
3580,"central world"
3581,"siam paragon"
3582,"marina bay sands shopping mall"
3583,"fifth avenue"
3584,"forum istanbul"
3585,"central embassy"
3586,"fifth avenue"
3587,"westfield world trade center"
3588,"the dubai mall"
3589,"forum istanbul"
3590,"nanjing deji plaza"
3591,vivocity
3592,"mitsui outlet park"
3593,"robinsons place manila"
3594,"dubai mall"
3595,"oasis mall"
3596,"nanjing deji plaza"
3597,"westfield world trade center"
