invoice_no,customer_id,gender,age,category,shopping_mall,country,quantity,price,payment_method,invoice_date,total_cost,normalized_spending,season,age_group,store_name
I227571,C121967,1,61,Cosmetics,galeries lafayette,France,5,203.3,Credit Card,24/09/2022,1016.5,0.03872381,Autumn,36+,Ulta Beauty
I223552,C100696,1,39,Shoes,westfield parramatta,Australia,3,1800.51,Debit Card,24/09/2022,5401.53,0.205772571,Autumn,36+,Puma
I197564,C655048,0,49,Cosmetics,the outlets at orange,USA,4,162.64,Cash,24/09/2022,650.56,0.024783238,Autumn,36+,Ulta Beauty
I299917,C286743,0,30,Clothing,faisalabad mall,Pakistan,2,600.16,Credit Card,24/09/2022,1200.32,0.045726476,Autumn,26-35,Zara
I278519,C129976,0,69,Technology,centro santa fe,Mexico,3,3150,Debit Card,24/09/2022,9450,0.36,Autumn,36+,Best Buy
I308567,C220164,0,34,Cosmetics,sm mall of asia,Philippines,4,162.64,Cash,24/09/2022,650.56,0.024783238,Autumn,26-35,The Body Shop
I145366,C278199,1,43,Shoes,south coast plaza,USA,3,1800.51,Cash,24/09/2022,5401.53,0.205772571,Autumn,36+,Puma
I915116,C222461,1,39,Clothing,plaza satÃ©lite,Mexico,3,900.24,Debit Card,24/09/2022,2700.72,0.102884571,Autumn,36+,Zara
I237255,C338429,1,63,Clothing,south coast plaza,USA,5,1500.4,Credit Card,24/09/2022,7502,0.285790476,Autumn,36+,Gap
I945897,C247790,1,46,Technology,la rinascente,Italy,1,1050,Debit Card,23/09/2022,1050,0.04,Autumn,36+,Sony Store
I327475,C281723,1,36,Clothing,king abdulaziz center,Saudi Arabia,3,900.24,Cash,23/09/2022,2700.72,0.102884571,Autumn,36+,Zara
I469111,C232827,1,21,Clothing,istanbul cevahir avm,Turkey,3,900.24,Cash,23/09/2022,2700.72,0.102884571,Autumn,18-25,Forever 21
I834568,C271657,0,35,Clothing,the shops at columbus circle,USA,2,600.16,Debit Card,23/09/2022,1200.32,0.045726476,Autumn,26-35,H&M
I216775,C308701,1,60,Clothing,marina bay sands shopping mall,Singapore,2,600.16,Credit Card,23/09/2022,1200.32,0.045726476,Autumn,36+,Forever 21
I573323,C276752,1,59,Food & Beverage,dubai mall,UAE,1,5.23,Credit Card,23/09/2022,5.23,0.000199238,Autumn,36+,Starbucks
I280459,C100299,1,22,Books,westfield world trade center,USA,1,15.15,Credit Card,23/09/2022,15.15,0.000577143,Autumn,18-25,Kinokuniya
I202088,C295895,1,31,Food & Beverage,avenue des champs-Ã©lysÃ©es,France,3,15.69,Credit Card,23/09/2022,47.07,0.001793143,Autumn,26-35,Taco Bell
I167109,C160357,1,66,Books,the outlets at orange,USA,1,15.15,Cash,23/09/2022,15.15,0.000577143,Autumn,36+,Barnes & Noble
I184404,C995810,0,40,Food & Beverage,robinsons place manila,Philippines,2,10.46,Cash,23/09/2022,20.92,0.000796952,Autumn,36+,Mcdonald's
I185487,C216953,1,24,Souvenir,mall of america,USA,5,58.65,Debit Card,23/09/2022,293.25,0.011171429,Autumn,18-25,Shop the World
I435618,C666905,1,47,Cosmetics,oasis mall,Egypt,3,121.98,Debit Card,23/09/2022,365.94,0.013940571,Autumn,36+,The Body Shop
I202364,C338021,0,28,Food & Beverage,istanbul cevahir avm,Turkey,5,26.15,Debit Card,23/09/2022,130.75,0.004980952,Autumn,26-35,Mcdonald's
I260839,C282392,0,43,Souvenir,forum istanbul,Turkey,1,11.73,Credit Card,22/09/2022,11.73,0.000446857,Autumn,36+,World Market
I818552,C293068,1,45,Toys,vivocity,Singapore,1,35.84,Cash,22/09/2022,35.84,0.001365333,Autumn,36+,Hamleys
I281772,C921066,1,23,Food & Beverage,siam paragon,Thailand,4,20.92,Credit Card,22/09/2022,83.68,0.00318781,Autumn,18-25,Mcdonald's
I338500,C320292,0,55,Food & Beverage,moscow mall,Russia,2,10.46,Credit Card,22/09/2022,20.92,0.000796952,Autumn,36+,Pizza Hut
I231763,C440776,1,34,Cosmetics,kuala lumpur city centre (klcc),Malaysia,1,40.66,Credit Card,22/09/2022,40.66,0.001548952,Autumn,26-35,Ulta Beauty
I247106,C173067,1,64,Cosmetics,pavilion kuala lumpur,Malaysia,1,40.66,Cash,22/09/2022,40.66,0.001548952,Autumn,36+,Ulta Beauty
I745257,C243169,1,25,Souvenir,galeries lafayette,France,1,11.73,Cash,22/09/2022,11.73,0.000446857,Autumn,18-25,Hard Rock Cafe
I170927,C249994,1,37,Cosmetics,oasis mall,Egypt,3,121.98,Credit Card,22/09/2022,365.94,0.013940571,Autumn,36+,The Body Shop
I549639,C141544,0,37,Cosmetics,la rinascente,Italy,4,162.64,Debit Card,22/09/2022,650.56,0.024783238,Autumn,36+,Ulta Beauty
I218998,C147258,1,56,Clothing,robinsons galleria,Philippines,3,900.24,Credit Card,22/09/2022,2700.72,0.102884571,Autumn,36+,Gap
I204349,C981287,1,48,Clothing,mall of america,USA,5,1500.4,Cash,22/09/2022,7502,0.285790476,Autumn,36+,Forever 21
I187952,C234397,1,61,Cosmetics,lujiazui shopping mall,China,4,162.64,Cash,22/09/2022,650.56,0.024783238,Autumn,36+,MAC
I271670,C332754,1,56,Clothing,vivocity,Singapore,2,600.16,Credit Card,22/09/2022,1200.32,0.045726476,Autumn,36+,Forever 21
I232338,C545065,1,18,Clothing,avenue des champs-Ã©lysÃ©es,France,4,1200.32,Debit Card,22/09/2022,4801.28,0.182905905,Autumn,18-25,Forever 21
I144157,C146738,0,39,Toys,lujiazui shopping mall,China,5,179.2,Cash,22/09/2022,896,0.034133333,Autumn,36+,Toys R Us
I314446,C103185,0,20,Technology,the mall at millenia,USA,2,2100,Debit Card,22/09/2022,4200,0.16,Autumn,18-25,Microsoft Store
I533184,C220859,1,44,Shoes,lotte world mall,South Korea,5,3000.85,Credit Card,22/09/2022,15004.25,0.571590476,Autumn,36+,Adidas
I128978,C238584,0,58,Clothing,robinsons place manila,Philippines,5,1500.4,Credit Card,22/09/2022,7502,0.285790476,Autumn,36+,H&M
I171167,C269066,0,66,Clothing,central world,Thailand,5,1500.4,Debit Card,21/09/2022,7502,0.285790476,Autumn,36+,H&M
I312735,C953933,1,23,Clothing,zorlu center,Turkey,4,1200.32,Credit Card,21/09/2022,4801.28,0.182905905,Autumn,18-25,Zara
I740676,C199864,1,56,Clothing,moscow mall,Russia,2,600.16,Credit Card,21/09/2022,1200.32,0.045726476,Autumn,36+,Forever 21
I259779,C962302,1,64,Clothing,the grove,USA,3,900.24,Cash,21/09/2022,2700.72,0.102884571,Autumn,36+,Gap
I140931,C184380,1,55,Clothing,takashimaya,Japan,3,900.24,Credit Card,21/09/2022,2700.72,0.102884571,Autumn,36+,Gap
I338966,C907582,1,57,Clothing,pavilion kuala lumpur,Malaysia,5,1500.4,Cash,21/09/2022,7502,0.285790476,Autumn,36+,Gap
I685758,C122103,1,38,Shoes,chadstone shopping centre,Australia,5,3000.85,Debit Card,21/09/2022,15004.25,0.571590476,Autumn,36+,New Balance
I261969,C852038,1,41,Books,the dubai mall,UAE,4,60.6,Cash,21/09/2022,242.4,0.009234286,Autumn,36+,Kinokuniya
I187434,C177914,1,58,Food & Beverage,prada store tokyo,Japan,5,26.15,Cash,21/09/2022,130.75,0.004980952,Autumn,36+,Mcdonald's
I297001,C153249,1,62,Food & Beverage,vivocity,Singapore,3,15.69,Credit Card,21/09/2022,47.07,0.001793143,Autumn,36+,Mcdonald's
I330319,C280759,1,21,Food & Beverage,mall of the emirates,UAE,3,15.69,Debit Card,21/09/2022,47.07,0.001793143,Autumn,18-25,Carrefour
I233568,C153418,0,61,Souvenir,kanyon,Turkey,5,58.65,Credit Card,21/09/2022,293.25,0.011171429,Autumn,36+,Shop the World
I269688,C311938,1,64,Food & Beverage,the dubai mall,UAE,1,5.23,Credit Card,21/09/2022,5.23,0.000199238,Autumn,36+,Pizza Hut
I906092,C970777,1,63,Toys,beverly center,USA,3,107.52,Credit Card,21/09/2022,322.56,0.012288,Autumn,36+,LEGO Store
I191664,C328321,1,35,Cosmetics,korsh mall,Egypt,1,40.66,Credit Card,21/09/2022,40.66,0.001548952,Autumn,26-35,MAC
I316677,C119364,1,44,Books,the mall at millenia,USA,4,60.6,Cash,21/09/2022,242.4,0.009234286,Autumn,36+,Kinokuniya
I200390,C564338,1,47,Toys,istanbul cevahir avm,Turkey,1,35.84,Credit Card,21/09/2022,35.84,0.001365333,Autumn,36+,LEGO Store
I246727,C175227,0,58,Clothing,istanbul cevahir avm,Turkey,5,1500.4,Cash,20/09/2022,7502,0.285790476,Autumn,36+,Forever 21
I249148,C902190,1,19,Clothing,westfield world trade center,USA,4,1200.32,Cash,20/09/2022,4801.28,0.182905905,Autumn,18-25,Gap
I294606,C824496,0,51,Clothing,pavilion kuala lumpur,Malaysia,5,1500.4,Credit Card,20/09/2022,7502,0.285790476,Autumn,36+,Gap
I329884,C154553,1,19,Clothing,king abdulaziz center,Saudi Arabia,2,600.16,Cash,20/09/2022,1200.32,0.045726476,Autumn,18-25,Zara
I594574,C316999,1,56,Clothing,istanbul cevahir avm,Turkey,2,600.16,Credit Card,20/09/2022,1200.32,0.045726476,Autumn,36+,Forever 21
I265460,C196063,0,29,Clothing,the outlets at orange,USA,3,900.24,Cash,20/09/2022,2700.72,0.102884571,Autumn,26-35,Gap
I246718,C215785,0,61,Cosmetics,westfield world trade center,USA,1,40.66,Cash,20/09/2022,40.66,0.001548952,Autumn,36+,The Body Shop
I935078,C219377,1,40,Food & Beverage,korsh mall,Egypt,1,5.23,Cash,20/09/2022,5.23,0.000199238,Autumn,36+,Pizza Hut
I198420,C157534,0,22,Shoes,westfield parramatta,Australia,1,600.17,Cash,20/09/2022,600.17,0.022863619,Autumn,18-25,Puma
I181141,C216107,1,25,Cosmetics,kanyon,Turkey,1,40.66,Cash,20/09/2022,40.66,0.001548952,Autumn,18-25,MAC
I242108,C302435,0,18,Souvenir,mall of america,USA,1,11.73,Debit Card,20/09/2022,11.73,0.000446857,Autumn,18-25,Hard Rock Cafe
I311614,C331789,0,28,Souvenir,istanbul cevahir avm,Turkey,2,23.46,Cash,20/09/2022,46.92,0.001787429,Autumn,26-35,The Souvenir Shop
I219949,C158186,1,29,Clothing,the shops at columbus circle,USA,1,300.08,Credit Card,20/09/2022,300.08,0.011431619,Autumn,26-35,Prada
I269415,C332608,0,42,Toys,westfield london,UK,1,35.84,Credit Card,19/09/2022,35.84,0.001365333,Autumn,36+,LEGO Store
I213375,C299864,0,48,Souvenir,the dubai mall,UAE,4,46.92,Debit Card,19/09/2022,187.68,0.007149714,Autumn,36+,The Souvenir Shop
I155404,C100484,0,48,Toys,takashimaya,Japan,4,143.36,Cash,19/09/2022,573.44,0.021845333,Autumn,36+,Toys R Us
I334705,C284644,1,27,Cosmetics,the outlets at orange,USA,3,121.98,Credit Card,19/09/2022,365.94,0.013940571,Autumn,26-35,Ulta Beauty
I315978,C147955,0,54,Clothing,galeries lafayette,France,1,300.08,Debit Card,19/09/2022,300.08,0.011431619,Autumn,36+,H&M
I360351,C105883,1,66,Food & Beverage,king abdulaziz center,Saudi Arabia,2,10.46,Credit Card,19/09/2022,20.92,0.000796952,Autumn,36+,Starbucks
I411433,C167014,1,24,Cosmetics,mall of the emirates,UAE,4,162.64,Cash,19/09/2022,650.56,0.024783238,Autumn,18-25,Ulta Beauty
I949483,C234557,1,52,Books,king abdulaziz center,Saudi Arabia,5,75.75,Credit Card,19/09/2022,378.75,0.014428571,Autumn,36+,Kinokuniya
I252361,C174623,1,61,Cosmetics,south coast plaza,USA,2,81.32,Cash,19/09/2022,162.64,0.00619581,Autumn,36+,Sephora
I313084,C182654,1,23,Souvenir,sm seaside city cebu,Philippines,5,58.65,Credit Card,19/09/2022,293.25,0.011171429,Autumn,18-25,The Souvenir Shop
I286269,C394825,1,45,Cosmetics,korsh mall,Egypt,3,121.98,Cash,19/09/2022,365.94,0.013940571,Autumn,36+,Sephora
I241756,C240220,1,69,Books,zorlu center,Turkey,3,45.45,Cash,19/09/2022,136.35,0.005194286,Autumn,36+,Kinokuniya
I187954,C720413,1,51,Clothing,robinsons galleria,Philippines,4,1200.32,Cash,19/09/2022,4801.28,0.182905905,Autumn,36+,H&M
I815499,C918136,1,18,Clothing,korsh mall,Egypt,4,1200.32,Cash,19/09/2022,4801.28,0.182905905,Autumn,18-25,Forever 21
I116934,C234410,1,68,Cosmetics,dubai mall,UAE,4,162.64,Cash,19/09/2022,650.56,0.024783238,Autumn,36+,MAC
I119280,C220662,0,51,Clothing,galleria mall,Egypt,4,1200.32,Debit Card,19/09/2022,4801.28,0.182905905,Autumn,36+,Zara
I244472,C326665,0,24,Clothing,beverly center,USA,2,600.16,Credit Card,19/09/2022,1200.32,0.045726476,Autumn,18-25,Zara
I228804,C258573,1,50,Clothing,marina bay sands shopping mall,Singapore,5,1500.4,Debit Card,19/09/2022,7502,0.285790476,Autumn,36+,Forever 21
I151840,C720560,1,56,Clothing,beverly center,USA,3,900.24,Debit Card,19/09/2022,2700.72,0.102884571,Autumn,36+,H&M
I789573,C113227,0,29,Shoes,istanbul cevahir avm,Turkey,2,1200.34,Cash,19/09/2022,2400.68,0.091454476,Autumn,26-35,Foot Locker
I189827,C918999,0,65,Clothing,vivocity,Singapore,4,1200.32,Cash,19/09/2022,4801.28,0.182905905,Autumn,36+,Forever 21
I426485,C314795,1,56,Clothing,central embassy,Thailand,4,1200.32,Credit Card,18/09/2022,4801.28,0.182905905,Autumn,36+,Gap
I737451,C986133,1,37,Cosmetics,prada store tokyo,Japan,5,203.3,Cash,18/09/2022,1016.5,0.03872381,Autumn,36+,Sephora
I121135,C267052,0,46,Clothing,beverly center,USA,3,900.24,Debit Card,18/09/2022,2700.72,0.102884571,Autumn,36+,Forever 21
I671053,C112173,1,32,Technology,la rinascente,Italy,3,3150,Debit Card,18/09/2022,9450,0.36,Autumn,26-35,Apple Store
I248655,C203513,0,43,Shoes,pavilion kuala lumpur,Malaysia,2,1200.34,Cash,18/09/2022,2400.68,0.091454476,Autumn,36+,Adidas
I988030,C284369,0,60,Clothing,the dubai mall,UAE,3,900.24,Cash,18/09/2022,2700.72,0.102884571,Autumn,36+,Forever 21
I273050,C336687,1,64,Cosmetics,mitsui outlet park,Japan,5,203.3,Credit Card,18/09/2022,1016.5,0.03872381,Autumn,36+,Ulta Beauty
I926025,C170741,1,36,Food & Beverage,centro coyoacÃ¡n,Mexico,4,20.92,Debit Card,18/09/2022,83.68,0.00318781,Autumn,36+,Pizza Hut
I184289,C102301,0,25,Toys,forum istanbul,Turkey,2,71.68,Credit Card,18/09/2022,143.36,0.005461333,Autumn,18-25,Toys R Us
I649394,C496288,0,65,Toys,sm mall of asia,Philippines,3,107.52,Credit Card,18/09/2022,322.56,0.012288,Autumn,36+,Hamleys
I144681,C208844,0,69,Toys,central world,Thailand,1,35.84,Credit Card,18/09/2022,35.84,0.001365333,Autumn,36+,Hamleys
I767583,C279889,0,40,Food & Beverage,korsh mall,Egypt,4,20.92,Debit Card,18/09/2022,83.68,0.00318781,Autumn,36+,Mcdonald's
I353329,C635016,1,68,Toys,korsh mall,Egypt,2,71.68,Credit Card,18/09/2022,143.36,0.005461333,Autumn,36+,Hamleys
I848648,C932894,0,60,Cosmetics,lujiazui shopping mall,China,3,121.98,Cash,18/09/2022,365.94,0.013940571,Autumn,36+,Ulta Beauty
I818873,C724237,1,62,Food & Beverage,chadstone shopping centre,Australia,2,10.46,Cash,17/09/2022,20.92,0.000796952,Autumn,36+,Starbucks
I202345,C267007,1,48,Cosmetics,mitsui outlet park,Japan,3,121.98,Cash,17/09/2022,365.94,0.013940571,Autumn,36+,The Body Shop
I254395,C444564,1,55,Toys,lujiazui shopping mall,China,4,143.36,Cash,17/09/2022,573.44,0.021845333,Autumn,36+,LEGO Store
I226491,C185863,0,46,Cosmetics,istanbul cevahir avm,Turkey,3,121.98,Credit Card,17/09/2022,365.94,0.013940571,Autumn,36+,MAC
I308474,C582893,1,67,Toys,lotte world mall,South Korea,3,107.52,Cash,17/09/2022,322.56,0.012288,Autumn,36+,LEGO Store
I231382,C260264,1,65,Toys,king of prussia mall,USA,4,143.36,Credit Card,17/09/2022,573.44,0.021845333,Autumn,36+,Toys R Us
I940367,C306576,1,30,Food & Beverage,istanbul cevahir avm,Turkey,2,10.46,Cash,17/09/2022,20.92,0.000796952,Autumn,26-35,Pizza Hut
I300557,C207753,1,34,Cosmetics,istanbul cevahir avm,Turkey,3,121.98,Debit Card,17/09/2022,365.94,0.013940571,Autumn,26-35,MAC
I989969,C153024,0,62,Food & Beverage,kuala lumpur city centre (klcc),Malaysia,3,15.69,Credit Card,17/09/2022,47.07,0.001793143,Autumn,36+,Taco Bell
I177993,C294836,1,47,Technology,the mall at millenia,USA,1,1050,Debit Card,17/09/2022,1050,0.04,Autumn,36+,Samsung
I100565,C833577,0,42,Clothing,dubai mall,UAE,5,1500.4,Cash,17/09/2022,7502,0.285790476,Autumn,36+,Gap
I290586,C221157,1,28,Shoes,lotte world mall,South Korea,1,600.17,Cash,17/09/2022,600.17,0.022863619,Autumn,26-35,Nike
I306957,C623421,1,40,Clothing,korsh mall,Egypt,2,600.16,Credit Card,17/09/2022,1200.32,0.045726476,Autumn,36+,H&M
I635863,C224984,0,42,Clothing,chadstone shopping centre,Australia,5,1500.4,Credit Card,17/09/2022,7502,0.285790476,Autumn,36+,Gap
I578182,C272347,1,26,Clothing,the mall at millenia,USA,4,1200.32,Cash,17/09/2022,4801.28,0.182905905,Autumn,26-35,Gap
I921324,C179584,1,26,Technology,sm mall of asia,Philippines,5,5250,Cash,17/09/2022,26250,1,Autumn,26-35,Apple Store
I210803,C781893,0,19,Clothing,pavilion kuala lumpur,Malaysia,4,1200.32,Credit Card,17/09/2022,4801.28,0.182905905,Autumn,18-25,Gap
I181599,C283618,1,69,Clothing,dubai mall,UAE,4,1200.32,Debit Card,16/09/2022,4801.28,0.182905905,Autumn,36+,H&M
I170396,C276838,1,48,Shoes,king of prussia mall,USA,2,1200.34,Cash,16/09/2022,2400.68,0.091454476,Autumn,36+,Nike
I953937,C333325,0,49,Cosmetics,siam paragon,Thailand,5,203.3,Cash,16/09/2022,1016.5,0.03872381,Autumn,36+,The Body Shop
I262394,C255598,0,35,Clothing,lotte world mall,South Korea,3,900.24,Cash,16/09/2022,2700.72,0.102884571,Autumn,26-35,H&M
I236398,C241706,1,25,Shoes,the mall at millenia,USA,5,3000.85,Cash,16/09/2022,15004.25,0.571590476,Autumn,18-25,Nike
I102725,C385326,1,54,Toys,robinsons place manila,Philippines,5,179.2,Cash,16/09/2022,896,0.034133333,Autumn,36+,Hamleys
I443994,C480991,0,66,Food & Beverage,robinsons galleria,Philippines,5,26.15,Credit Card,16/09/2022,130.75,0.004980952,Autumn,36+,Carrefour
I207068,C682022,0,42,Food & Beverage,nanjing deji plaza,China,1,5.23,Debit Card,16/09/2022,5.23,0.000199238,Autumn,36+,Taco Bell
I155993,C184140,1,21,Cosmetics,dubai mall,UAE,1,40.66,Credit Card,16/09/2022,40.66,0.001548952,Autumn,18-25,Sephora
I293057,C169259,1,49,Food & Beverage,kuala lumpur city centre (klcc),Malaysia,4,20.92,Cash,16/09/2022,83.68,0.00318781,Autumn,36+,Carrefour
I124564,C140737,1,54,Food & Beverage,lotte world mall,South Korea,3,15.69,Cash,16/09/2022,47.07,0.001793143,Autumn,36+,Starbucks
I115856,C326318,0,32,Cosmetics,fifth avenue,USA,3,121.98,Cash,16/09/2022,365.94,0.013940571,Autumn,26-35,The Body Shop
I334462,C202334,1,58,Books,vivocity,Singapore,4,60.6,Cash,16/09/2022,242.4,0.009234286,Autumn,36+,Books-A-Million
I377290,C169626,1,24,Food & Beverage,galleria mall,Egypt,4,20.92,Credit Card,16/09/2022,83.68,0.00318781,Autumn,18-25,Mcdonald's
I955581,C313897,0,56,Toys,galleria vittorio emanuele ii,Italy,4,143.36,Debit Card,16/09/2022,573.44,0.021845333,Autumn,36+,Hamleys
I132490,C263095,1,54,Food & Beverage,vivocity,Singapore,1,5.23,Debit Card,16/09/2022,5.23,0.000199238,Autumn,36+,Mcdonald's
I162588,C321169,0,25,Food & Beverage,pavilion kuala lumpur,Malaysia,1,5.23,Cash,16/09/2022,5.23,0.000199238,Autumn,18-25,Carrefour
I182317,C476318,0,24,Toys,westfield parramatta,Australia,1,35.84,Credit Card,15/09/2022,35.84,0.001365333,Autumn,18-25,LEGO Store
I655961,C142712,0,42,Shoes,istanbul cevahir avm,Turkey,4,2400.68,Cash,15/09/2022,9602.72,0.365817905,Autumn,36+,New Balance
I591356,C857677,1,44,Clothing,mall of the emirates,UAE,4,1200.32,Credit Card,15/09/2022,4801.28,0.182905905,Autumn,36+,Zara
I308351,C143643,1,64,Technology,centro coyoacÃ¡n,Mexico,3,3150,Debit Card,15/09/2022,9450,0.36,Autumn,36+,Apple Store
I186312,C287850,1,26,Clothing,zorlu center,Turkey,5,1500.4,Debit Card,15/09/2022,7502,0.285790476,Autumn,26-35,Forever 21
I318545,C231638,1,19,Clothing,the outlets at orange,USA,4,1200.32,Cash,15/09/2022,4801.28,0.182905905,Autumn,18-25,Gap
I315400,C268884,1,42,Clothing,westfield world trade center,USA,5,1500.4,Debit Card,15/09/2022,7502,0.285790476,Autumn,36+,Gap
I166987,C223349,0,19,Food & Beverage,prada store tokyo,Japan,5,26.15,Cash,15/09/2022,130.75,0.004980952,Autumn,18-25,Pizza Hut
I294468,C217547,1,42,Shoes,centro santa fe,Mexico,1,600.17,Cash,15/09/2022,600.17,0.022863619,Autumn,36+,Puma
I247188,C130422,1,21,Clothing,forum istanbul,Turkey,1,300.08,Cash,15/09/2022,300.08,0.011431619,Autumn,18-25,H&M
I291832,C693724,1,28,Cosmetics,king of prussia mall,USA,3,121.98,Credit Card,15/09/2022,365.94,0.013940571,Autumn,26-35,The Body Shop
I156252,C478733,1,63,Toys,galeries lafayette,France,4,143.36,Debit Card,15/09/2022,573.44,0.021845333,Autumn,36+,Hamleys
I323356,C243980,1,49,Souvenir,lotte world mall,South Korea,2,23.46,Cash,15/09/2022,46.92,0.001787429,Autumn,36+,The Souvenir Shop
I207545,C291816,0,50,Food & Beverage,kanyon,Turkey,4,20.92,Debit Card,15/09/2022,83.68,0.00318781,Autumn,36+,Taco Bell
I116937,C276518,1,39,Cosmetics,pavilion kuala lumpur,Malaysia,3,121.98,Credit Card,15/09/2022,365.94,0.013940571,Autumn,36+,Sephora
I260132,C187351,0,30,Cosmetics,vivocity,Singapore,1,40.66,Credit Card,14/09/2022,40.66,0.001548952,Autumn,26-35,Sephora
I146287,C231785,0,49,Toys,takashimaya,Japan,1,35.84,Credit Card,14/09/2022,35.84,0.001365333,Autumn,36+,LEGO Store
I323055,C157033,0,56,Clothing,pavilion kuala lumpur,Malaysia,1,300.08,Credit Card,14/09/2022,300.08,0.011431619,Autumn,36+,Prada
I133449,C834188,1,68,Food & Beverage,centro coyoacÃ¡n,Mexico,5,26.15,Cash,14/09/2022,130.75,0.004980952,Autumn,36+,Pizza Hut
I153842,C509924,1,19,Food & Beverage,pavilion kuala lumpur,Malaysia,3,15.69,Credit Card,14/09/2022,47.07,0.001793143,Autumn,18-25,Mcdonald's
I228819,C276980,0,20,Food & Beverage,dubai mall,UAE,3,15.69,Credit Card,14/09/2022,47.07,0.001793143,Autumn,18-25,Carrefour
I399156,C285884,1,42,Food & Beverage,marina bay sands shopping mall,Singapore,1,5.23,Cash,14/09/2022,5.23,0.000199238,Autumn,36+,Taco Bell
I146743,C161253,1,22,Food & Beverage,fifth avenue,USA,1,5.23,Debit Card,14/09/2022,5.23,0.000199238,Autumn,18-25,Carrefour
I220246,C296552,0,52,Clothing,robinsons galleria,Philippines,2,600.16,Credit Card,14/09/2022,1200.32,0.045726476,Autumn,36+,Gap
I301321,C106775,1,68,Clothing,lujiazui shopping mall,China,5,1500.4,Credit Card,14/09/2022,7502,0.285790476,Autumn,36+,Prada
I619435,C239165,0,53,Clothing,avenue des champs-Ã©lysÃ©es,France,2,600.16,Cash,14/09/2022,1200.32,0.045726476,Autumn,36+,Zara
I147944,C199792,1,28,Toys,sm mall of asia,Philippines,5,179.2,Cash,14/09/2022,896,0.034133333,Autumn,26-35,Toys R Us
I203491,C164654,1,45,Clothing,forum istanbul,Turkey,4,1200.32,Cash,14/09/2022,4801.28,0.182905905,Autumn,36+,Forever 21
I201145,C156783,0,37,Cosmetics,beverly center,USA,5,203.3,Cash,13/09/2022,1016.5,0.03872381,Autumn,36+,Sephora
I165111,C207706,1,20,Toys,takashimaya,Japan,5,179.2,Cash,13/09/2022,896,0.034133333,Autumn,18-25,LEGO Store
I148353,C138646,1,38,Technology,zorlu center,Turkey,5,5250,Cash,13/09/2022,26250,1,Autumn,36+,Sony Store
I172676,C147620,0,23,Clothing,south coast plaza,USA,5,1500.4,Cash,13/09/2022,7502,0.285790476,Autumn,18-25,Gap
I613071,C177945,1,58,Toys,sm mall of asia,Philippines,5,179.2,Cash,13/09/2022,896,0.034133333,Autumn,36+,Toys R Us
I268314,C325203,0,21,Toys,vivocity,Singapore,5,179.2,Cash,13/09/2022,896,0.034133333,Autumn,18-25,LEGO Store
I218421,C202016,0,19,Clothing,marina bay sands shopping mall,Singapore,3,900.24,Cash,13/09/2022,2700.72,0.102884571,Autumn,18-25,Zara
I244809,C334118,1,51,Shoes,sm mall of asia,Philippines,2,1200.34,Credit Card,13/09/2022,2400.68,0.091454476,Autumn,36+,Adidas
I116724,C936707,0,39,Clothing,forum istanbul,Turkey,4,1200.32,Cash,13/09/2022,4801.28,0.182905905,Autumn,36+,Forever 21
I799489,C201937,0,46,Technology,sm seaside city cebu,Philippines,1,1050,Credit Card,13/09/2022,1050,0.04,Autumn,36+,Microsoft Store
I937750,C418538,1,67,Clothing,westfield london,UK,5,1500.4,Credit Card,13/09/2022,7502,0.285790476,Autumn,36+,Gap
I218100,C241701,1,30,Technology,dubai mall,UAE,3,3150,Credit Card,13/09/2022,9450,0.36,Autumn,26-35,Best Buy
I326900,C249325,0,58,Technology,takashimaya,Japan,4,4200,Credit Card,13/09/2022,16800,0.64,Autumn,36+,Microsoft Store
I128752,C224227,1,34,Books,westfield london,UK,5,75.75,Cash,13/09/2022,378.75,0.014428571,Autumn,26-35,Kinokuniya
I338241,C195985,0,60,Food & Beverage,south coast plaza,USA,4,20.92,Cash,13/09/2022,83.68,0.00318781,Autumn,36+,Pizza Hut
I259775,C300567,0,60,Food & Beverage,king of prussia mall,USA,2,10.46,Cash,13/09/2022,20.92,0.000796952,Autumn,36+,Starbucks
I713466,C539985,0,23,Food & Beverage,zorlu center,Turkey,2,10.46,Credit Card,13/09/2022,20.92,0.000796952,Autumn,18-25,Starbucks
I180372,C271571,0,49,Souvenir,robinsons galleria,Philippines,5,58.65,Cash,13/09/2022,293.25,0.011171429,Autumn,36+,Shop the World
I158464,C297032,0,29,Food & Beverage,dubai mall,UAE,2,10.46,Debit Card,13/09/2022,20.92,0.000796952,Autumn,26-35,Pizza Hut
I357955,C702933,0,65,Food & Beverage,beverly center,USA,1,5.23,Debit Card,13/09/2022,5.23,0.000199238,Autumn,36+,Starbucks
I146049,C393238,1,54,Food & Beverage,westfield london,UK,1,5.23,Credit Card,13/09/2022,5.23,0.000199238,Autumn,36+,Taco Bell
I135151,C158839,1,37,Shoes,westfield parramatta,Australia,3,1800.51,Cash,12/09/2022,5401.53,0.205772571,Autumn,36+,Nike
I894668,C253252,0,52,Technology,faisalabad mall,Pakistan,1,1050,Credit Card,12/09/2022,1050,0.04,Autumn,36+,Apple Store
I131440,C148955,1,39,Technology,lotte world mall,South Korea,3,3150,Credit Card,12/09/2022,9450,0.36,Autumn,36+,Samsung
